,0
loan_amnt,0.021740475285515922
funded_amnt,0.03336240950403735
funded_amnt_inv,0.03059073434557845
int_rate,0.013794913277263865
installment,0.026685930314867896
annual_inc,0.0011996223188607182
dti,0.001293054079131607
delinq_2yrs,0.0002473638905584768
inq_last_6mths,0.004720212671510215
open_acc,0.0010027366283929414
pub_rec,0.00019134679069341228
revol_bal,0.002071023691384033
revol_util,0.001574348814733185
total_acc,0.0013404944924493814
total_pymnt,0.047923568322328254
total_pymnt_inv,0.047694095667244134
total_rec_prncp,0.13380290598061037
total_rec_int,0.008130277460996215
total_rec_late_fee,0.005542747673754781
recoveries,0.3494708745762871
collection_recovery_fee,0.20473929754852432
last_pymnt_amnt,0.05985587360392951
home_ownership,0.0003268478822528406
verification_status,0.00021543397856788404
term_bin,0.0024834112005270646
